env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_0,107000000.0,2519.0
atari_alien,dreamerv2,atari_alien_nosched_0,108000000.0,2666.0
atari_alien,dreamerv2,atari_alien_nosched_0,109000000.0,2867.0
atari_alien,dreamerv2,atari_alien_nosched_0,110000000.0,2612.0
atari_alien,dreamerv2,atari_alien_nosched_0,111000000.0,2515.0
atari_alien,dreamerv2,atari_alien_nosched_0,112000000.0,2400.0
atari_alien,dreamerv2,atari_alien_nosched_0,113000000.0,2404.0
atari_alien,dreamerv2,atari_alien_nosched_0,114000000.0,2315.0
atari_alien,dreamerv2,atari_alien_nosched_0,115000000.0,1820.0
atari_alien,dreamerv2,atari_alien_nosched_0,116000000.0,1920.0
atari_alien,dreamerv2,atari_alien_nosched_0,117000000.0,2087.6923076923076
atari_alien,dreamerv2,atari_alien_nosched_0,118000000.0,2670.0
atari_alien,dreamerv2,atari_alien_nosched_0,119000000.0,1819.0
atari_alien,dreamerv2,atari_alien_nosched_0,120000000.0,2270.0
atari_alien,dreamerv2,atari_alien_nosched_0,121000000.0,2120.0
atari_alien,dreamerv2,atari_alien_nosched_0,122000000.0,2469.0
atari_alien,dreamerv2,atari_alien_nosched_0,123000000.0,2018.0
atari_alien,dreamerv2,atari_alien_nosched_0,124000000.0,2568.0
atari_alien,dreamerv2,atari_alien_nosched_0,125000000.0,1818.0
atari_alien,dreamerv2,atari_alien_nosched_0,126000000.0,2368.0
atari_alien,dreamerv2,atari_alien_nosched_0,127000000.0,2245.0
atari_alien,dreamerv2,atari_alien_nosched_0,128000000.0,2366.0
atari_alien,dreamerv2,atari_alien_nosched_0,129000000.0,2820.0
atari_alien,dreamerv2,atari_alien_nosched_0,130000000.0,2320.0
atari_alien,dreamerv2,atari_alien_nosched_0,131000000.0,2066.0
atari_alien,dreamerv2,atari_alien_nosched_0,132000000.0,2320.0
atari_alien,dreamerv2,atari_alien_nosched_0,133000000.0,2318.0
atari_alien,dreamerv2,atari_alien_nosched_0,134000000.0,2368.0
atari_alien,dreamerv2,atari_alien_nosched_0,135000000.0,2370.0
atari_alien,dreamerv2,atari_alien_nosched_0,136000000.0,3220.0
atari_alien,dreamerv2,atari_alien_nosched_0,137000000.0,2570.0
atari_alien,dreamerv2,atari_alien_nosched_0,138000000.0,2217.0
atari_alien,dreamerv2,atari_alien_nosched_0,139000000.0,2256.0
atari_alien,dreamerv2,atari_alien_nosched_0,140000000.0,2469.0
atari_alien,dreamerv2,atari_alien_nosched_0,141000000.0,2519.0
atari_alien,dreamerv2,atari_alien_nosched_0,142000000.0,2269.0
atari_alien,dreamerv2,atari_alien_nosched_0,143000000.0,2364.0
atari_alien,dreamerv2,atari_alien_nosched_0,144000000.0,2620.0
atari_alien,dreamerv2,atari_alien_nosched_0,145000000.0,2120.0
atari_alien,dreamerv2,atari_alien_nosched_0,146000000.0,2437.0
atari_alien,dreamerv2,atari_alien_nosched_0,147000000.0,2766.0
atari_alien,dreamerv2,atari_alien_nosched_0,148000000.0,2667.0
atari_alien,dreamerv2,atari_alien_nosched_0,149000000.0,2370.0
atari_alien,dreamerv2,atari_alien_nosched_0,150000000.0,2284.0
atari_alien,dreamerv2,atari_alien_nosched_0,151000000.0,1970.0
atari_alien,dreamerv2,atari_alien_nosched_0,152000000.0,2319.0
